"Specimen thickness",1.5,"mm"
"Specimen width",4.89,"mm"
"Cross-section",7.335,"mm²"
"Gage length, standard travel",30,"mm"
"Extensometer",""
"Load cell",""
"Date/Clock time",44182.5,""
"Operator",""
"v1",1,"mm/min"
"v2",1,"mm/min"
"Time","Crosshead absolute","Standard travel","Standard force","Capteur de course"
"s","mm","mm","N","mm"
4.39805,1190.58,0.0261801,607.324,4.97809
4.40805,1190.58,0.0263452,610.716,4.97786
4.41805,1190.58,0.0265145,614.133,4.97765
4.42805,1190.58,0.0266873,617.554,4.97745
4.43805,1190.58,0.0268527,620.967,4.97726
4.44805,1190.58,0.0270121,624.363,4.97709
4.45805,1190.58,0.0271793,627.779,4.97694
4.46805,1190.58,0.0273491,631.187,4.97681
4.47805,1190.58,0.0275227,634.6,4.9767
4.48805,1190.58,0.0276865,637.982,4.97659
4.49805,1190.58,0.0278456,641.355,4.9765
4.50805,1190.58,0.0280123,644.761,4.97641
4.51805,1190.58,0.0281863,648.141,4.97632
4.52805,1190.58,0.0283551,651.531,4.97623
4.53805,1190.58,0.0285187,654.906,4.97614
4.54805,1190.58,0.0286809,658.284,4.97605
4.55805,1190.58,0.0288456,661.667,4.97597
4.56805,1190.58,0.0290158,665.047,4.97589
4.57805,1190.58,0.0291893,668.42,4.97581
4.58805,1190.58,0.0293523,671.809,4.97575
4.59805,1190.58,0.0295207,675.192,4.97569
4.60805,1190.58,0.0296842,678.597,4.97564
4.61805,1190.58,0.0298462,682.005,4.97558
4.62805,1190.58,0.0300118,685.409,4.97554
4.63805,1190.59,0.0301779,688.847,4.9755
4.64805,1190.59,0.0303454,692.268,4.97547
4.65805,1190.59,0.0305158,695.688,4.97545
4.66805,1190.59,0.0306835,699.116,4.97543
4.67805,1190.59,0.030851,702.574,4.97541
4.68805,1190.59,0.031017,706.005,4.97538
4.69805,1190.59,0.0311828,709.462,4.97535
4.70805,1190.59,0.0313504,712.892,4.9753
4.71805,1190.59,0.0315189,716.342,4.97525
4.72805,1190.59,0.031682,719.769,4.97519
4.73805,1190.59,0.0318496,723.188,4.97514
4.74805,1190.59,0.0320161,726.638,4.9751
4.75805,1190.59,0.0321861,730.084,4.97508
4.76805,1190.59,0.0323435,733.54,4.9751
4.77805,1190.59,0.0325107,736.947,4.97515
4.78805,1190.59,0.0326808,740.402,4.97523
4.79805,1190.59,0.0328485,743.832,4.97535
4.80805,1190.59,0.0330142,747.249,4.97552
4.81805,1190.59,0.0331793,750.659,4.97574
4.82805,1190.59,0.0333509,754.099,4.976
4.83805,1190.59,0.0335194,757.515,4.97627
4.84805,1190.59,0.0336805,760.92,4.97655
4.85805,1190.59,0.0338465,764.328,4.97683
4.86805,1190.59,0.0340174,767.723,4.97709
4.87805,1190.59,0.034188,771.117,4.97732
4.88805,1190.59,0.034349,774.478,4.97751
4.89805,1190.59,0.0345162,777.834,4.97769
4.90805,1190.59,0.034684,781.214,4.97782
4.91805,1190.59,0.0348534,784.574,4.97791
4.92805,1190.59,0.0350206,787.916,4.97796
4.93805,1190.59,0.035187,791.261,4.97798
4.94805,1190.59,0.0353491,794.607,4.97797
4.95805,1190.59,0.0355171,797.953,4.97792
4.96805,1190.59,0.03568,801.266,4.97783
4.97805,1190.59,0.0358459,804.609,4.97771
4.98805,1190.59,0.0360128,807.932,4.97756
4.99805,1190.59,0.0361836,811.274,4.97737
5.00805,1190.59,0.0363484,814.591,4.97715
5.01805,1190.59,0.0365125,817.894,4.97692
5.02805,1190.59,0.0366769,821.168,4.97668
5.03805,1190.59,0.0368472,824.494,4.97643
5.04805,1190.59,0.037011,827.787,4.97617
5.05805,1190.59,0.0371745,831.081,4.97592
5.06805,1190.59,0.0373478,834.392,4.97568
5.07805,1190.59,0.0375238,837.657,4.97547
5.08805,1190.59,0.0376871,840.954,4.97529
5.09805,1190.59,0.0378513,844.239,4.97513
5.10805,1190.59,0.0380199,847.537,4.97501
5.11805,1190.59,0.0381829,850.843,4.97492
5.12805,1190.59,0.038349,854.159,4.97486
5.13805,1190.59,0.0385213,857.457,4.97483
5.14805,1190.59,0.038685,860.77,4.97482
5.15805,1190.59,0.0388442,864.041,4.97484
5.16805,1190.59,0.0390109,867.309,4.97487
5.17805,1190.59,0.039185,870.635,4.9749
5.18805,1190.59,0.0393524,873.957,4.97491
5.19805,1190.59,0.0395122,877.259,4.97492
5.20805,1190.59,0.0396742,880.565,4.97491
5.21805,1190.59,0.0398473,883.858,4.97487
5.22805,1190.59,0.0400176,887.157,4.9748
5.23805,1190.6,0.0401846,890.447,4.97471
5.24805,1190.6,0.040356,893.728,4.97461
5.25805,1190.6,0.0405183,897.051,4.97449
5.26805,1190.6,0.0406783,900.356,4.97438
5.27805,1190.6,0.0408481,903.634,4.97429
5.28805,1190.6,0.0410166,906.906,4.9742
5.29805,1190.6,0.0411827,910.175,4.97413
5.30805,1190.6,0.0413476,913.438,4.97406
5.31805,1190.6,0.0415145,916.718,4.97401
5.32805,1190.6,0.0416858,920.01,4.97398
5.33805,1190.6,0.0418492,923.28,4.97395
5.34805,1190.6,0.0420105,926.56,4.97393
5.35805,1190.6,0.042179,929.844,4.97391
5.36805,1190.6,0.0423542,933.16,4.9739
