"Specimen thickness",1.06,"mm"
"Specimen width",6.02,"mm"
"Cross-section",6.3812,"mm²"
"Gage length, standard travel",20,"mm"
"Extensometer",""
"Load cell",""
"Date/Clock time",43447.4,""
"Operator",""
"v1",1,"mm/min"
"v2",1,"mm/min"
"Time","Crosshead absolute","Standard force","Standard travel"
"s","mm","N","mm"
12.4241,-755.331,684.116,0.0096
12.4341,-755.331,687.48,0.0096
12.4441,-755.331,690.85,0.0096
12.4541,-755.33,694.235,0.0096
12.4641,-755.33,697.589,0.0096
12.4741,-755.33,700.969,0.0098
12.4841,-755.33,704.373,0.0098
12.4941,-755.33,707.745,0.0098
12.5041,-755.33,711.107,0.0098
12.5141,-755.329,714.495,0.01
12.5241,-755.329,717.867,0.01
12.5341,-755.329,721.207,0.01
12.5441,-755.329,724.555,0.0102
12.5541,-755.329,727.912,0.0102
12.5641,-755.329,731.298,0.0102
12.5741,-755.328,734.653,0.0102
12.5841,-755.328,738.021,0.01021
12.5941,-755.328,741.357,0.0104
12.6041,-755.328,744.677,0.0104
12.6141,-755.328,748.001,0.0104
12.6241,-755.328,751.323,0.0104
12.6341,-755.327,754.69,0.0104
12.6441,-755.327,758.029,0.0106
12.6541,-755.327,761.361,0.0106
12.6641,-755.327,764.696,0.0106
12.6741,-755.327,768.012,0.0108
12.6841,-755.327,771.293,0.0108
12.6941,-755.326,774.56,0.0108
12.7041,-755.326,777.833,0.0108
12.7141,-755.326,781.134,0.011
12.7241,-755.326,784.418,0.011
12.7341,-755.326,787.701,0.011
12.7441,-755.326,791,0.011
12.7541,-755.325,794.291,0.0112
12.7641,-755.325,797.567,0.0112
12.7741,-755.325,800.866,0.0112
12.7841,-755.325,804.156,0.0114
12.7941,-755.325,807.508,0.0114
12.8041,-755.325,810.868,0.0114
12.8141,-755.324,814.19,0.0114
12.8241,-755.324,817.529,0.0114
12.8341,-755.324,820.839,0.0114
12.8441,-755.324,824.14,0.0116
12.8541,-755.324,827.423,0.0116
12.8641,-755.324,830.72,0.0116
12.8741,-755.323,834.012,0.0116
12.8841,-755.323,837.289,0.0118
12.8941,-755.323,840.544,0.0118
12.9041,-755.323,843.816,0.0118
12.9141,-755.323,847.086,0.012
12.9241,-755.323,850.363,0.012
12.9341,-755.322,853.631,0.012
12.9441,-755.322,856.894,0.012
12.9541,-755.322,860.193,0.0122
12.9641,-755.322,863.473,0.0122
12.9741,-755.322,866.756,0.0122
12.9841,-755.322,870.056,0.01239
12.9941,-755.321,873.377,0.0124
13.0041,-755.321,876.671,0.0124
13.0141,-755.321,879.966,0.0124
13.0241,-755.321,883.237,0.0124
13.0341,-755.321,886.547,0.0124
13.0441,-755.321,889.849,0.0126
13.0541,-755.32,893.157,0.0126
13.0641,-755.32,896.483,0.0126
13.0741,-755.32,899.778,0.01279
13.0841,-755.32,903.112,0.0128
13.0941,-755.32,906.435,0.0128
13.1041,-755.32,909.761,0.0128
13.1141,-755.319,913.117,0.013
13.1241,-755.319,916.457,0.013
13.1341,-755.319,919.782,0.013
13.1441,-755.319,923.139,0.013
13.1541,-755.319,926.475,0.0132
13.1641,-755.319,929.812,0.0132
13.1741,-755.318,933.175,0.0132
13.1841,-755.318,936.521,0.0132
13.1941,-755.318,939.848,0.0134
13.2041,-755.318,943.202,0.0134
13.2141,-755.318,946.539,0.0134
13.2241,-755.318,949.911,0.0134
13.2341,-755.317,953.278,0.01359
13.2441,-755.317,956.611,0.0136
13.2541,-755.317,959.952,0.0136
13.2641,-755.317,963.277,0.0136
13.2741,-755.317,966.623,0.0136
13.2841,-755.317,969.96,0.0138
13.2941,-755.316,973.302,0.0138
13.3041,-755.316,976.666,0.0138
13.3141,-755.316,980.023,0.0138
13.3241,-755.316,983.374,0.014
13.3341,-755.316,986.696,0.014
13.3441,-755.316,990.055,0.014
13.3541,-755.315,993.408,0.0142
13.3641,-755.315,996.756,0.0142
13.3741,-755.315,1000.09,0.0142
13.3841,-755.315,1003.44,0.0142
13.3941,-755.315,1006.79,0.0142
13.4041,-755.315,1010.08,0.0142
13.4141,-755.314,1013.36,0.0144
13.4241,-755.314,1016.62,0.0144
13.4341,-755.314,1019.93,0.01441
13.4441,-755.314,1023.24,0.0146
13.4541,-755.314,1026.52,0.0146
13.4641,-755.314,1029.84,0.0146
13.4741,-755.313,1033.15,0.0146
13.4841,-755.313,1036.44,0.0148
13.4941,-755.313,1039.74,0.0148
13.5041,-755.313,1043.04,0.0148
13.5141,-755.313,1046.35,0.0148
13.5241,-755.313,1049.67,0.015
13.5341,-755.312,1053,0.015
13.5441,-755.312,1056.3,0.015
13.5541,-755.312,1059.63,0.015
13.5641,-755.312,1062.94,0.015
13.5741,-755.312,1066.22,0.0152
13.5841,-755.312,1069.54,0.0152
13.5941,-755.311,1072.85,0.0152
13.6041,-755.311,1076.19,0.0152
13.6141,-755.311,1079.5,0.0154
13.6241,-755.311,1082.79,0.0154
13.6341,-755.311,1086.06,0.0154
13.6441,-755.311,1089.35,0.0154
13.6541,-755.31,1092.62,0.0156
13.6641,-755.31,1095.85,0.0156
13.6741,-755.31,1099.08,0.0156
13.6841,-755.31,1102.32,0.01579
13.6941,-755.31,1105.55,0.0158
13.7041,-755.31,1108.77,0.0158
13.7141,-755.309,1112.01,0.0158
13.7241,-755.309,1115.24,0.0158
13.7341,-755.309,1118.49,0.0158
13.7441,-755.309,1121.72,0.016
13.7541,-755.309,1124.99,0.016
13.7641,-755.309,1128.28,0.016
13.7741,-755.308,1131.58,0.016
13.7841,-755.308,1134.86,0.0162
13.7941,-755.308,1138.17,0.0162
13.8041,-755.308,1141.46,0.0162
13.8141,-755.308,1144.74,0.0162
13.8241,-755.308,1148.02,0.0164
13.8341,-755.307,1151.31,0.0164
13.8441,-755.307,1154.62,0.0164
13.8541,-755.307,1157.93,0.01659
13.8641,-755.307,1161.21,0.0166
13.8741,-755.307,1164.53,0.0166
13.8841,-755.307,1167.82,0.0166
13.8941,-755.306,1171.12,0.0166
13.9041,-755.306,1174.45,0.0166
13.9141,-755.306,1177.79,0.0168
13.9241,-755.306,1181.12,0.0168
13.9341,-755.306,1184.45,0.0168
13.9441,-755.306,1187.77,0.0168
13.9541,-755.305,1191.09,0.017
13.9641,-755.305,1194.43,0.017
13.9741,-755.305,1197.74,0.017
13.9841,-755.305,1201.07,0.01719
13.9941,-755.305,1204.39,0.0172
14.0041,-755.305,1207.7,0.0172
14.0141,-755.304,1211.02,0.0172
14.0241,-755.304,1214.35,0.0172
14.0341,-755.304,1217.68,0.0172
14.0441,-755.304,1220.98,0.0174
14.0541,-755.304,1224.29,0.0174
14.0641,-755.304,1227.6,0.0174
14.0741,-755.303,1230.93,0.0174
14.0841,-755.303,1234.24,0.0176
14.0941,-755.303,1237.55,0.0176
14.1041,-755.303,1240.85,0.0176
14.1141,-755.303,1244.16,0.0176
14.1241,-755.303,1247.42,0.0178
14.1341,-755.302,1250.68,0.0178
14.1441,-755.302,1253.97,0.0178
14.1541,-755.302,1257.26,0.018
14.1641,-755.302,1260.54,0.018
14.1741,-755.302,1263.8,0.018
14.1841,-755.302,1267.08,0.018
14.1941,-755.301,1270.31,0.018
14.2041,-755.301,1273.55,0.018
14.2141,-755.301,1276.79,0.01819
14.2241,-755.301,1280.1,0.0182
14.2341,-755.301,1283.39,0.0182
14.2441,-755.301,1286.65,0.0182
14.2541,-755.3,1289.92,0.0184
14.2641,-755.3,1293.17,0.0184
14.2741,-755.3,1296.44,0.0184
14.2841,-755.3,1299.71,0.01859
14.2941,-755.3,1303.01,0.0186
14.3041,-755.3,1306.29,0.0186
14.3141,-755.299,1309.55,0.0186
14.3241,-755.299,1312.79,0.0186
14.3341,-755.299,1316.05,0.0186
14.3441,-755.299,1319.29,0.01879
14.3541,-755.299,1322.5,0.0188
14.3641,-755.299,1325.79,0.0188
14.3741,-755.298,1329.02,0.0188
14.3841,-755.298,1332.24,0.019
14.3941,-755.298,1335.46,0.019
14.4041,-755.298,1338.7,0.019
14.4141,-755.298,1341.94,0.019
14.4241,-755.298,1345.15,0.0192
14.4341,-755.297,1348.36,0.0192
14.4441,-755.297,1351.58,0.0192
14.4541,-755.297,1354.8,0.0192
14.4641,-755.297,1357.97,0.0192
14.4741,-755.297,1361.17,0.0192
14.4841,-755.297,1364.35,0.0194
14.4941,-755.296,1367.55,0.0194
14.5041,-755.296,1370.73,0.0194
14.5141,-755.296,1373.94,0.01959
14.5241,-755.296,1377.18,0.0196
